return_id,order_id,return_date,return_reason,return_year,return_month,return_month_name,return_quarter
R0052,O02325,2025-02-01,Wrong Item,2025,2,February,1
R0053,O02995,2024-11-15,Defective,2024,11,November,4
R0054,O00333,2023-06-28,Late Delivery,2023,6,June,2
R0055,O00927,2023-10-05,Late Delivery,2023,10,October,4
R0056,O01114,2024-10-04,Wrong Item,2024,10,October,4
R0057,O00882,2024-03-14,No Longer Needed,2024,3,March,1
R0058,O02727,2024-05-17,No Longer Needed,2024,5,May,2
R0059,O01974,2024-09-08,Late Delivery,2024,9,September,3
R0060,O02808,2023-08-05,Wrong Item,2023,8,August,3
R0061,O02185,2024-01-31,Defective,2024,1,January,1
R0062,O01152,2025-01-11,Defective,2025,1,January,1
R0063,O02307,2024-09-27,Wrong Item,2024,9,September,3
R0064,O00362,2024-11-13,Defective,2024,11,November,4
R0065,O00291,2023-09-13,No Longer Needed,2023,9,September,3
R0066,O02021,2024-03-29,Late Delivery,2024,3,March,1
R0067,O00154,2024-01-03,Defective,2024,1,January,1
R0068,O01028,2024-08-06,Defective,2024,8,August,3
R0069,O00424,2025-01-04,No Longer Needed,2025,1,January,1
R0070,O00042,2024-07-08,Wrong Item,2024,7,July,3
R0071,O02368,2023-05-10,Defective,2023,5,May,2
R0072,O00102,2025-02-19,Defective,2025,2,February,1
R0073,O01276,2023-10-19,Late Delivery,2023,10,October,4
R0074,O00158,2024-11-27,Late Delivery,2024,11,November,4
R0075,O02169,2023-04-24,No Longer Needed,2023,4,April,2
R0076,O01708,2023-08-02,Defective,2023,8,August,3
R0077,O01655,2024-01-23,Defective,2024,1,January,1
R0078,O00296,2024-03-25,Defective,2024,3,March,1
R0079,O01009,2025-03-30,Wrong Item,2025,3,March,1
R0080,O00591,2024-11-17,Defective,2024,11,November,4
R0081,O00821,2024-10-09,Wrong Item,2024,10,October,4
R0082,O02055,2024-04-30,Wrong Item,2024,4,April,2
R0083,O01238,2023-08-10,Wrong Item,2023,8,August,3
R0084,O00638,2023-07-11,Defective,2023,7,July,3
R0085,O00858,2024-02-11,Wrong Item,2024,2,February,1
R0086,O00808,2024-02-29,Defective,2024,2,February,1
R0087,O01742,2024-04-06,Defective,2024,4,April,2
R0088,O02848,2023-11-08,No Longer Needed,2023,11,November,4
R0089,O02316,2024-11-07,Defective,2024,11,November,4
R0090,O01989,2024-12-13,Defective,2024,12,December,4
R0091,O00841,2024-12-21,No Longer Needed,2024,12,December,4
R0092,O00240,2023-10-29,Defective,2023,10,October,4
R0093,O01326,2023-08-28,No Longer Needed,2023,8,August,3
R0094,O00405,2024-10-31,Defective,2024,10,October,4
R0095,O02029,2024-10-03,Defective,2024,10,October,4
R0096,O00832,2025-01-22,Late Delivery,2025,1,January,1
R0097,O02889,2024-06-01,Defective,2024,6,June,2
R0098,O02387,2024-07-24,Wrong Item,2024,7,July,3
R0099,O00066,2025-02-20,Late Delivery,2025,2,February,1
R0100,O01242,2025-03-19,No Longer Needed,2025,3,March,1
R0101,O02740,2024-10-08,Defective,2024,10,October,4
R0102,O00661,2024-11-23,Defective,2024,11,November,4
R0103,O01185,2025-03-24,Defective,2025,3,March,1
R0104,O00488,2023-05-02,Late Delivery,2023,5,May,2
R0105,O02185,2024-12-27,No Longer Needed,2024,12,December,4
R0106,O02588,2025-02-27,Wrong Item,2025,2,February,1
R0107,O01298,2023-04-16,Late Delivery,2023,4,April,2
R0108,O01984,2024-09-01,Defective,2024,9,September,3
R0109,O02488,2024-04-15,Late Delivery,2024,4,April,2
R0110,O01786,2023-06-23,No Longer Needed,2023,6,June,2
R0111,O02089,2024-11-10,Wrong Item,2024,11,November,4
R0112,O02010,2024-03-02,No Longer Needed,2024,3,March,1
R0113,O01206,2025-02-12,No Longer Needed,2025,2,February,1
R0114,O00768,2024-09-25,Defective,2024,9,September,3
R0115,O00978,2024-03-03,Defective,2024,3,March,1
R0116,O00153,2023-06-15,No Longer Needed,2023,6,June,2
R0117,O01235,2024-11-21,Defective,2024,11,November,4
R0118,O02693,2023-07-19,No Longer Needed,2023,7,July,3
R0119,O00500,2023-08-07,Wrong Item,2023,8,August,3
R0120,O00693,2024-05-23,Late Delivery,2024,5,May,2
R0121,O02627,2024-01-19,Late Delivery,2024,1,January,1
R0122,O00487,2023-10-07,Wrong Item,2023,10,October,4
R0123,O01163,2024-11-08,Defective,2024,11,November,4
R0124,O00311,2023-07-10,Late Delivery,2023,7,July,3
R0125,O00337,2023-06-19,Wrong Item,2023,6,June,2
R0126,O00892,2024-03-29,Wrong Item,2024,3,March,1
R0127,O00210,2025-03-24,No Longer Needed,2025,3,March,1
R0128,O02444,2024-09-07,No Longer Needed,2024,9,September,3
R0129,O02711,2024-06-03,Late Delivery,2024,6,June,2
R0130,O01591,2023-09-29,Defective,2023,9,September,3
R0131,O01665,2023-07-28,Wrong Item,2023,7,July,3
R0132,O01410,2025-01-21,Wrong Item,2025,1,January,1
R0133,O00684,2024-12-23,Wrong Item,2024,12,December,4
R0134,O00718,2025-02-06,No Longer Needed,2025,2,February,1
R0135,O01823,2023-08-12,Wrong Item,2023,8,August,3
R0136,O00307,2024-05-30,Defective,2024,5,May,2
R0137,O00569,2024-04-07,Wrong Item,2024,4,April,2
R0138,O01159,2024-08-04,No Longer Needed,2024,8,August,3
R0139,O02951,2025-02-08,Defective,2025,2,February,1
R0140,O02898,2025-02-27,No Longer Needed,2025,2,February,1
R0141,O02391,2024-04-01,Wrong Item,2024,4,April,2
R0142,O02132,2023-05-07,Wrong Item,2023,5,May,2
R0143,O01744,2025-02-23,No Longer Needed,2025,2,February,1
R0144,O02476,2024-06-22,Wrong Item,2024,6,June,2
R0145,O02075,2024-12-06,Late Delivery,2024,12,December,4
R0146,O00239,2024-03-01,Defective,2024,3,March,1
R0147,O01512,2024-04-30,Defective,2024,4,April,2
R0148,O02420,2024-02-10,Wrong Item,2024,2,February,1
R0149,O01772,2024-07-10,No Longer Needed,2024,7,July,3
R0150,O01424,2024-03-28,No Longer Needed,2024,3,March,1
R0151,O00852,2025-01-24,Wrong Item,2025,1,January,1
R0152,O01491,2025-02-18,Wrong Item,2025,2,February,1
R0153,O00596,2024-06-03,Late Delivery,2024,6,June,2
R0154,O01836,2023-08-05,Defective,2023,8,August,3
R0155,O01866,2024-02-01,Late Delivery,2024,2,February,1
R0156,O01596,2024-01-27,No Longer Needed,2024,1,January,1
R0157,O00545,2023-08-10,Wrong Item,2023,8,August,3
R0158,O01659,2024-11-11,Wrong Item,2024,11,November,4
R0159,O00106,2024-03-10,Wrong Item,2024,3,March,1
R0160,O01567,2023-07-31,Defective,2023,7,July,3
R0161,O01951,2024-11-08,Defective,2024,11,November,4
R0162,O02717,2023-05-05,Defective,2023,5,May,2
R0163,O00339,2024-08-20,Wrong Item,2024,8,August,3
R0164,O02678,2024-04-21,Wrong Item,2024,4,April,2
R0165,O00455,2023-06-28,Late Delivery,2023,6,June,2
R0166,O00020,2024-05-23,No Longer Needed,2024,5,May,2
R0167,O02085,2024-01-05,No Longer Needed,2024,1,January,1
R0168,O00737,2023-06-05,Wrong Item,2023,6,June,2
R0169,O00165,2023-07-03,No Longer Needed,2023,7,July,3
R0170,O00420,2025-01-06,Defective,2025,1,January,1
R0171,O00014,2024-06-11,No Longer Needed,2024,6,June,2
R0172,O01675,2023-09-10,Defective,2023,9,September,3
R0173,O02753,2023-06-04,Wrong Item,2023,6,June,2
R0174,O00410,2024-11-21,No Longer Needed,2024,11,November,4
R0175,O00555,2024-05-06,Late Delivery,2024,5,May,2
R0176,O00031,2024-08-17,No Longer Needed,2024,8,August,3
R0177,O01669,2025-03-02,Late Delivery,2025,3,March,1
R0178,O00787,2024-02-11,Defective,2024,2,February,1
R0179,O00498,2024-08-18,Wrong Item,2024,8,August,3
R0180,O02701,2024-06-02,Late Delivery,2024,6,June,2
R0181,O00573,2023-06-02,Late Delivery,2023,6,June,2
R0182,O00585,2024-08-24,Late Delivery,2024,8,August,3
R0183,O00741,2025-04-02,Late Delivery,2025,4,April,2
R0184,O02277,2024-05-13,Late Delivery,2024,5,May,2
R0185,O01162,2024-03-24,Defective,2024,3,March,1
R0186,O02195,2024-03-07,Wrong Item,2024,3,March,1
R0187,O01929,2024-10-23,Wrong Item,2024,10,October,4
R0188,O00637,2023-11-27,Late Delivery,2023,11,November,4
R0189,O01466,2023-07-04,Wrong Item,2023,7,July,3
R0190,O00130,2024-11-09,Defective,2024,11,November,4
R0191,O01117,2023-11-28,Defective,2023,11,November,4
R0192,O00159,2024-03-27,Wrong Item,2024,3,March,1
R0193,O01852,2024-08-29,Defective,2024,8,August,3
R0194,O00934,2024-09-09,Wrong Item,2024,9,September,3
R0195,O00416,2023-08-25,Defective,2023,8,August,3
R0196,O01008,2024-10-25,Wrong Item,2024,10,October,4
R0197,O02732,2023-06-16,Defective,2023,6,June,2
R0198,O01287,2023-05-02,Late Delivery,2023,5,May,2
R0199,O01305,2025-01-26,No Longer Needed,2025,1,January,1
